token	corpus size	all contexts size	frequency	co-frequency	specificity
演説	35464	12886	1	1	0.44
老後	35464	12886	1	1	0.44
面倒	35464	12886	1	1	0.44
テキスト	35464	12886	1	1	0.44
一定	35464	12886	1	1	0.44
数値	35464	12886	1	1	0.44
変数	35464	12886	1	1	0.44
言い表さ	35464	12886	1	1	0.44
統計	35464	12886	1	1	0.44
初歩	35464	12886	1	1	0.44
先ず	35464	12886	1	1	0.44
加え	35464	12886	1	1	0.44
学風	35464	12886	1	1	0.44
語り	35464	12886	1	1	0.44
叶う	35464	12886	1	1	0.44
名詞	35464	12886	1	1	0.44
聞か	35464	12886	1	1	0.44
辛い	35464	12886	1	1	0.44
処方箋	35464	12886	1	1	0.44
見返り	35464	12886	1	1	0.44
ぜ	35464	12886	1	1	0.44
自力	35464	12886	1	1	0.44
有効	35464	12886	1	1	0.44
後述	35464	12886	1	1	0.44
平たく	35464	12886	1	1	0.44
もはや	35464	12886	1	1	0.44
やめよ	35464	12886	1	1	0.44
聞き	35464	12886	1	1	0.44
必死	35464	12886	1	1	0.44
自主トレ	35464	12886	1	1	0.44
つらい	35464	12886	1	1	0.44
不要	35464	12886	1	1	0.44
押し付ける	35464	12886	1	1	0.44
嫌がり	35464	12886	1	1	0.44
対策	35464	12886	1	1	0.44
研ぎ澄まさ	35464	12886	1	1	0.44
セーター	35464	12886	1	1	0.44
286	35464	12886	1	1	0.44
000	35464	12886	1	1	0.44
ほか	35464	12886	1	1	0.44
始まる	35464	12886	1	1	0.44
はしご	35464	12886	1	1	0.44
外さ	35464	12886	1	1	0.44
サブ	35464	12886	1	1	0.44
セクション	35464	12886	1	1	0.44
見込み	35464	12886	1	1	0.44
ご覧	35464	12886	1	1	0.44
確実	35464	12886	1	1	0.44
英	35464	12886	1	1	0.44
驚き	35464	12886	1	1	0.44
性質	35464	12886	1	1	0.44
会規	35464	12886	1	1	0.44
真	35464	12886	1	1	0.44
度合い	35464	12886	1	1	0.44
用い	35464	12886	1	1	0.44
発展	35464	12886	1	1	0.44
アーヴィング・カーシュ	35464	12886	1	1	0.44
科学	35464	12886	1	1	0.44
新薬	35464	12886	1	1	0.44
テスト	35464	12886	1	1	0.44
被験者	35464	12886	1	1	0.44
「[	35464	12886	1	1	0.44
服用	35464	12886	1	1	0.44
特性	35464	12886	1	1	0.44
ロバート	35464	12886	1	1	0.44
K	35464	12886	1	1	0.44
マートン	35464	12886	1	1	0.44
イメー	35464	12886	1	1	0.44
操作	35464	12886	1	1	0.44
達し	35464	12886	1	1	0.44
両方	35464	12886	1	1	0.44
戦略	35464	12886	1	1	0.44
生存	35464	12886	1	1	0.44
浮かぶ	35464	12886	1	1	0.44
探る	35464	12886	1	1	0.44
駆動	35464	12886	1	1	0.44
探求	35464	12886	1	1	0.44
対比	35464	12886	1	1	0.44
取	35464	12886	1	1	0.44
bodyContent	35464	12886	1	1	0.44
61	35464	12886	1	1	0.44
62	35464	12886	1	1	0.44
63	35464	12886	1	1	0.44
wpFormIdentifier	35464	12886	1	1	0.44
titleform	35464	12886	1	1	0.44
bookcmd	35464	12886	1	1	0.44
book	35464	12886	1	1	0.44
creator	35464	12886	1	1	0.44
referer	35464	12886	1	1	0.44
DownloadAsPdf	35464	12886	1	1	0.44
show	35464	12886	1	1	0.44
download	35464	12886	1	1	0.44
screen	35464	12886	1	1	0.44
printable	35464	12886	1	1	0.44
yes	35464	12886	1	1	0.44
124	35464	12886	1	1	0.44
125	35464	12886	1	1	0.44
126	35464	12886	1	1	0.44
129	35464	12886	1	1	0.44
130	35464	12886	1	1	0.44
136	35464	12886	1	1	0.44
wiktionary	35464	12886	1	1	0.44
Search	35464	12886	1	1	0.44
mobileaction	35464	12886	1	1	0.44
toggle	35464	12886	1	1	0.44
mobile	35464	12886	1	1	0.44
早苗	35464	12886	1	1	0.44
主力	35464	12886	1	1	0.44
優勢	35464	12886	1	1	0.44
サンタクロース	35464	12886	1	1	0.44
ラリー	35464	12886	1	1	0.44
落ち着き	35464	12886	1	1	0.44
為替	35464	12886	1	1	0.44
やや	35464	12886	1	1	0.44
同年	35464	12886	1	1	0.44
出所	35464	12886	1	1	0.44
再燃	35464	12886	1	1	0.44
盛り上がら	35464	12886	1	1	0.44
膨らん	35464	12886	1	1	0.44
発表	35464	12886	1	1	0.44
経	35464	12886	1	1	0.44
実	35464	12886	1	1	0.44
予感	35464	12886	1	1	0.44
仮に	35464	12886	1	1	0.44
連日	35464	12886	1	1	0.44
連続	35464	12886	1	1	0.44
大幅	35464	12886	1	1	0.44
さえ	35464	12886	1	1	0.44
指標	35464	12886	1	1	0.44
諸刃	35464	12886	1	1	0.44
遠ざけ	35464	12886	1	1	0.44
ちゃう	35464	12886	1	1	0.44
ワタ	35464	12886	1	1	0.44
シ	35464	12886	1	1	0.44
操縦	35464	12886	1	1	0.44
ココ	35464	12886	1	1	0.44
例え	35464	12886	1	1	0.44
絡ん	35464	12886	1	1	0.44
答える	35464	12886	1	1	0.44
見捨て	35464	12886	1	1	0.44
すると	35464	12886	1	1	0.44
減っ	35464	12886	1	1	0.44
なろ	35464	12886	1	1	0.44
なんと	35464	12886	1	1	0.44
かし	35464	12886	1	1	0.44
悩ん	35464	12886	1	1	0.44
だり	35464	12886	1	1	0.44
苦	35464	12886	1	1	0.44
抜け	35464	12886	1	1	0.44
取り上げ	35464	12886	1	1	0.44
ファンタジー	35464	12886	1	1	0.44
癒	35464	12886	1	1	0.44
やす	35464	12886	1	1	0.44
我慢	35464	12886	1	1	0.44
src	35464	12886	1	1	0.44
bm	35464	12886	1	1	0.44
売買	35464	12886	1	1	0.44
”[	35464	12886	1	1	0.44
穏やか	35464	12886	1	1	0.44
サイン	35464	12886	1	1	0.44
大体	35464	12886	1	1	0.44
判定	35464	12886	1	1	0.44
気づか	35464	12886	1	1	0.44
つもり	35464	12886	1	1	0.44
執筆	35464	12886	1	1	0.44
物差し	35464	12886	1	1	0.44
下回れ	35464	12886	1	1	0.44
ガッカリ	35464	12886	1	1	0.44
上回れ	35464	12886	1	1	0.44
それほど	35464	12886	1	1	0.44
プレゼン	35464	12886	1	1	0.44
叱っ	35464	12886	1	1	0.44
叱責	35464	12886	1	1	0.44
過言	35464	12886	1	1	0.44
至る	35464	12886	1	1	0.44
エッセイ	35464	12886	1	1	0.44
悪	35464	12886	1	1	0.44
っていう	35464	12886	1	1	0.44
置き換わっ	35464	12886	1	1	0.44
がる	35464	12886	1	1	0.44
含め	35464	12886	1	1	0.44
ピカチュウ	35464	12886	1	1	0.44
法則	35464	12886	1	1	0.44
真意	35464	12886	1	1	0.44
移行	35464	12886	1	1	0.44
奥底	35464	12886	1	1	0.44
ちゃっ	35464	12886	1	1	0.44
気付い	35464	12886	1	1	0.44
併せ	35464	12886	1	1	0.44
命題	35464	12886	1	1	0.44
必ずしも	35464	12886	1	1	0.44
すぐ	35464	12886	1	1	0.44
売上	35464	12886	1	1	0.44
結びつく	35464	12886	1	1	0.44
望ま	35464	12886	1	1	0.44
=【	35464	12886	1	1	0.44
題材	35464	12886	1	1	0.44
たずね	35464	12886	1	1	0.44
冒頭	35464	12886	1	1	0.44
分け	35464	12886	1	1	0.44
元々	35464	12886	1	1	0.44
揺らぎ	35464	12886	1	1	0.44
苦しみ	35464	12886	1	1	0.44
混ぜ	35464	12886	1	1	0.44
